,Start: 8,
1,6,6
2,6,6
3,6,6
4,6,6
5,6,6
6,6,6
7,6,6
8,6,7
9,7.5,10
10,8,10
11,7,8
12,7,8
13,8,10
14,8,6
15,8,8
16,8,7
17,8,7
18,8,7
19,8,7
20,8,6
21,8,8
22,8,8
23,8,8
24,8,8
25,8,8
26,8,8
27,8,8
28,8,8
29,8,8
30,8,9
31,6,8
32,5,7
33,4,6
34,3,4
35,3,3
36,2,3
37,2,3
38,2,3
39,2,3
40,2,3
41,2,3
42,2,3
43,2,3
44,2,3
45,2,3
